,Contact Information,,Town Offices,,Government Operations,,,,Town Data,,Town Officials,,,,,Council on Aging / Senior Center,,,,Fire Department,,,Police Department,,,Public Works,,,Transfer Station,,,
,Phone,Website,Town Hall Address,Town Hall Hours,Form of Government,Meeting Videos,Annual Town Meeting (2026),Annual Town Election (2026),Population (2024),Mil Rate (2026),Town Manager/Administrator,Select Board,Town Council,Town Clerk,Staff Directory,COA Phone,COA Address,COA Hours,COA Webpage,Fire Dept. Phone,Fire Dept. Address,Fire Dept. Webpage,Police Dept. Phone,Polic Dept. Address,Police Dept. Webpage,DPW Phone,DPW Address,DPW Address,Dump Phone,Dump Address,Dump Hours,Dump Webpage
Barnstable,(508) 862-4956,Link,"367 Main St, Hyannis, MA 02601","Mon-Fri, 8:30 AM-4:30 PM",Town Council,Link,TBA,N/A,"49,831",5.94%,Mark S. Ells,N/A,Link,Link,Link,(508) 862-4750,"825 Falmouth Rd, Hyannis, MA 02601","Mon-Fri, 8 AM-4:30 PM",Link,(508) 362-3312,"3249 Main St, Barnstable, MA 02630",Link,(508) 775-0387,"1200 Phinney’s Ln, Hyannis, MA 02601",Link,(508) 790-6400,"382 Falmouth Rd, Hyannis, MA 02601",Link,(508) 420-2258,"45 Flint St, Marstons Mills, MA 02648","Sun-Sat, 7:30 AM-3:30 PM",Link
Bourne,(508) 759-0600,Link,"24 Perry Ave, Buzzards Bay, MA 02532","Mon-Fri, 8:30 AM-4:30 PM",Town Meeting,Link,"Mon, May 4 at 7 PM","Tue, May 19","20,508",7.65%,Marlene McCollem,Link,N/A,Link,Link,(508) 759-0600,"239 Main St, Bourne, MA 02532","Mon-Fri, 8:30 AM-4:30 PM",Link,(508) 759-0600 ext. 2,"51 Meetinghouse Ln, Sagamore Beach, MA 02562",Link,(508) 759-4451,"35 Armory Rd, Buzzards Bay, MA 02532",Link,(508) 759-0600 ext. 3,"35 Ernest Valeri Rd, Buzzards Bay, MA 02532",Link,(508) 759-0600 ext. 4,"201 MacArthur Blvd, Bourne, MA 02532","Mon-Fri, 7 AM-4 PM; Sat, 7 AM-12 PM",Link
Brewster,(508) 896-2737,Link,"2198 Main St, Brewster, MA 02631","Mon-Thu, 8:30 AM-4 PM; Fri by appointment",Town Meeting,Link,"Mon, May 4 at 6 PM","Tue, May 19","10,447",6.77%,Peter Lombardi,Link,N/A,Link,Link,(508) 896-2737,"1673 Main St, Brewster MA 02631","Mon-Fri, 8 AM-4 PM",Link,(508) 896-7018,"1671 Main St, Brewster MA 02631",Link,(508) 896-7011,"631 Harwich Rd, Brewster MA 02631",Link,(508) 896-3212,"201 Run Hill Road, Brewster MA 02631",Link,(508) 896-4541,"201 Run Hill Road, Brewster MA 02631","Thu-Mon, 8 AM-3 PM",Link
Chatham,(508) 945-5100,Link,"549 Main St, Chatham, MA 02633","Mon-Fri, 8 AM-4 PM",Town Meeting,Link,"Mon, May 14 at 6 PM","Thu, May 14","6,711",3.67%,Jill R. Goldsmith,Link,N/A,Link,Link,(508) 945-5190,"193 Stony Hill Rd, Chatham MA, 02633","Mon-Fri, 8 AM-4 PM",Link,(508) 945-2324,"135 Depot Rd, Chatham, MA 02633",Link,(508) 945-1213,"249 George Ryder Rd, Chatham, MA 02633",Link,(508) 945-5155,"221 Crowell Rd, Chatham, MA 02633",Link,(508) 945-5151,"97 Sam Ryder Rd, Chatham, MA 02633","Thu-Tue, 8 AM-4 PM",Link
Dennis,(508) 394-8300,Link,"685 Route 134, South Dennis, MA 02660","Mon-Fri, 8:30 AM-4:30 PM",Town Meeting,Link,"Tue, May 5 at 6 PM","Tue, May 12","14,862",4.29%,Elizabeth Sullivan,Link,N/A,Link,Link,(508) 385-5067,"1045 Route 134, South Dennis, MA 02660","Mon-Fri, 8:30 AM-4:30 PM",Link,(508) 398-0363 & (508) 398-2242,"883 Main St (Route 128), West Dennis, MA 02670",Link,(508) 394-1315,"90 Bob Crowell Rd, South Dennis, MA 02660",Link,(508) 760-6220,"120 Theophilus F. Smith Rd, South Dennis, MA 02660",Link,(508) 760-6230,"100 Theophilus F. Smith Rd, South Dennis, MA 02660","Wed-Sun, 8 AM-4 PM",Link
Eastham,(508) 240-5900,Link,"2500 State Highway, Eastham, MA 02642","Mon-Thu, 8 AM-4 PM; Fri, 8 AM-12 PM; Fri 12 PM-4 PM by appointment",Town Meeting,Link,"Mon, May 4 at 5:30 PM","Tue, May 19","5,824",7.66%,Rich Bienvenue,Link,N/A,Link,Link,(774) 801-3151,"1405 Nauset Rd, North Eastham, MA 02651","Mon-Fri, 8 AM-3 PM",Link,(508) 255-2324,"2520 State Highway, Eastham, MA 02642",Link,(508) 255-0551,"2550 State Highway, Eastham, MA 02642",Link,(774) 801-0520,"555 Old Orchard Rd, Eastham, MA 02642",Link,(774) 801-0520 option 2,"555 Old Orchard Rd, Eastham, MA 02642","Fri-Wed, 7:30 AM-3 PM",Link
Falmouth,(508) 457-2511,Link,"59 Town Hall Square, Falmouth, MA 02540","Mon-Fri, 8 AM-4:30 PM",Representative Town Meeting,Link,"Mon, April 6 at 7 PM","Tue, May 19","33,227",5.73%,Mike Renshaw,Link,N/A,Link,Link,(508) 540-0196,"780 Main St, Falmouth, MA 02540","Mon-Fri, 8:30 AM-4 PM",Link,(508) 495-2500,"399 Main St, Falmouth, MA 02540",Link,(774) 255-4527,"750 Main St, Falmouth, MA 02540",Link,(508) 457-2543,"416 Gifford St, Falmouth, MA 02540",Link,(508) 457-9353,"458 Thomas B. Landers Rd, Falmouth, MA 02540","Tue-Sat, 7:45 AM-3 PM",Link
Harwich,(508) 430-7514,Link,"732 Main St, Harwich, MA 02645","Mon-Fri, 8:30 AM-4 PM",Town Meeting,Link,"Mon, May 4 at 6 PM","Tue, May 19","13,620",5.81%,Jay McGrail,Link,N/A,Link,Link,(508) 430-7550,"100 Oak St, Harwich, MA 02645","Mon-Fri, 8:30 AM-4 PM",Link,(508) 430-7546,"175 Sisson Rd, Harwich, MA 02645",Link,(508) 430-7541,"183 Sisson Rd, Harwich, MA 02645",Link,(508) 430-7555,"273 Queen Anne Rd, Harwich, MA 02645",Link,(508) 430-7558,"209 Queen Anne Rd, Harwich, MA 02645","Sun-Sat, 8 AM-4 PM",Link
Mashpee,(508) 539-1400,Link,"16 Great Neck Rd North, Mashpee, MA 02649","Mon-Fri, 8:30 AM-4:30 PM",Town Meeting,Link,"Mon, May 4 at 7 PM","Sat, May 9","15,482",6.03%,Rodney C. Collins,Link,N/A,Link,Link,(508) 539-1440,"26 Frank E. Hicks Dr, Mashpee, MA 02649","Mon-Fri, 8:30 AM-4:30 PM",Link,(508) 539-1454,"20 Frank E. Hicks Dr, Mashpee, MA 02649",Link,(508) 539-1480,"19 Frank E. Hicks Dr, Mashpee, MA 02649",Link,(508) 539-1420,"350 Meetinghouse Rd, Mashpee, MA 02649",Link,(508) 477-3056,"380 Asher’s Path, Mashpee, MA 02649","Wed-Sun, 8 AM-4 PM",Link
Orleans,(508) 240-3700,Link,"19 School Rd, Orleans, MA 02653","Mon-Fri, 8:30 AM-4:30 PM",Town Meeting,Link,"Mon, May 11 at 6 PM","Tue, May 19","6,485",6.11%,Kimberly Newman,Link,N/A,Link,Link,(508) 255-6333,"150 Rock Harbor Rd, Orleans, MA 02653","Mon, Wed-Fri, 8:30 AM-4:30 PM; Tue, 8:30 AM-8 PM",Link,(508) 255-0050,"58 Eldredge Park Way, Orleans, MA 02653",Link,(508) 255-0117,"99 Eldredge Park Way, Orleans, MA 02653",Link,(508) 240-3790,"40 Giddiah Hill Rd, Orleans, MA 02653",Link,(508) 240-3770,"56 Lots Hollow Rd, Orleans, MA 02653","Fri-Tue, 7:30 AM-3 PM",Link
Provincetown,(508) 487-7000,Link,"260 Commercial St, Provincetown, MA 02657","Mon-Thu, 8 AM-5 PM; Fri 8 AM-12 PM",Town Meeting,Link,"Mon, April 6 at 6 PM","Tue, May 12","3,729",5.69%,Alex Morse,Link,N/A,Link,Link,(508) 487-7080,"2 Mayflower St, Provincetown, MA 02657","Mon-Thu, 8 AM-5 PM; Fri 8 AM-12 PM",Link,(508) 487-7023,"25 Shankpainter Rd, Provincetown, MA 02657",Link,(508) 487-1212,"2 Jerome Smith Rd, Provincetown, MA 02657",Link,(508) 487-7060,"2 Mayflower St, Provincetown, MA 02657",Link,(508) 487-7076,"90 Race Point Rd, Provincetown, MA 02657","Tue-Sat, 7 AM-2 PM",Link
Sandwich,(508) 888-5144,Link,"100 Route 6A, Sandwich, MA 02563","Mon-Fri, 8:30 AM-4:30 PM",Town Meeting,Link,"Mon, May 4 at 7 PM","Thu, May 7","20,507",10.19%,George H. “Bud” Dunham,Link,N/A,Link,Link,(508) 888-4737,"70 Quaker Meetinghouse Rd, Sandwich, MA 02563",Mon-Fri 8:30 AM-4:30 PM,Link,(508) 888-0525,"251 Cotuit Rd, Sandwich, MA 02563",Link,(508) 888-1212,"255 Cotuit Rd, Sandwich, MA 02563",Link,(508) 833-8002,"500 Route 130, Sandwich, MA 02563",Link,(508) 888-1969,"490 Route 130, Sandwich, MA 02563","Wed, 8 AM-8 PM; Thu-Sun 8 AM-4 PM",Link
Truro,(508) 349-7004,Link,"24 Town Hall Rd, Truro, MA 02666","Tue-Fri, 8 AM-4 PM; Mon remote",Town Meeting,Link,"Sat, May 16 at 10 AM","Tue, May 19","2,484",5.71%,Kelly Sullivan Clark,Link,N/A,Link,Link,(508) 487-2462,"7 Standish Way, North Truro, MA 02652","Mon-Fri, 8 AM-4 PM",Link,(508) 487-7548,"344 Route 6, Truro, MA 02666",Link,(508) 487-8730,"344 Route 6, Truro, MA 02666",Link,(508) 349-2140,"17 Town Hall Rd, Truro, MA 02666",Link,(508) 349-6339,"115 Route 6, Truro, MA 02666","Fri-Tue, 7:30 AM-3:30 PM",Link
Wellfleet,(508) 349-0300,Link,"300 Main St, Wellfleet, MA 02667","Mon-Fri, 8 AM-4 PM",Town Meeting,Link,"Mon, May 11 at 6 PM","Tue, May 19","3,645",6.61%,Thomas Guerino,Link,N/A,Link,Link,(508) 349-2800 & (508) 349-0313,"715 Old Kings Highway, Wellfleet, MA 02667","Mon-Fri, 8 AM-4 PM",Link,(508) 349-3754,"10 Lawrence Rd, Wellfleet, MA 02667",Link,(508) 349-3702,"36 Gross Hill Rd, Wellfleet, MA 02667",Link,(508) 349-0315,"220 West Main St, Wellfleet, MA 02667",Link,(508) 514-1199,"370 Coles Neck Rd, Wellfleet, MA 02667","Fri-Tue, 8 AM-4 PM",Link
Yarmouth,(508) 398-2231,Link,"1146 Route 28, South Yarmouth, MA 02664","Mon-Fri, 8:30 AM-4:30 PM",Town Meeting,Link,"Tue, April 28 at 6 PM","Tue, May 19","25,208",6.97%,Dan Knapik,Link,N/A,Link,Link,(508) 394-7606,"528 Forest Rd, South Yarmouth, MA 02664","Mon-Fri, 8:30 AM-4:30 PM",Link,(508) 398-2212,"96 Old Main St, South Yarmouth, MA 02664",Link,(508) 775-0445,"340 Higgins Crowell Rd, West Yarmouth, MA 02673",Link,(508) 398-2231 ext. 1250,"74 Town Brook Rd, West Yarmouth, MA 02673",Link,(508) 398-2231 ext. 1632,"606 Forest Rd, West Yarmouth, MA 02673","Sun-Sat, 7:30 AM-3:30 PM",Link
