Community,Zip Code,Town Location
Barnstable,2630,Barnstable
Brewster,2631,Brewster
Buzzards Bay / Bourne,2532,Bourne
Buzzards Bay (*),2542,None (*-Otis AFB)
Cataumet,2534,Bourne
Centerville,02632 / 02634 (PO Box),Barnstable
Chatham,2633,Chatham
Cotuit,2635,Barnstable
Cummaquid,2637,Barnstable
Dennis,2638,Dennis
Dennis Port,2639,Dennis
East Dennis,2641,Dennis
East Falmouth,2536,Falmouth
East Orleans,2643,Orleans
East Sandwich,2537,Sandwich
Eastham,2642,Eastham
Falmouth,02540 / 02541 (PO Box),Falmouth
Forestdale,2644,Sandwich
Harwich,2645,Harwich
Harwich Port,2646,Harwich
Hyannis,2601,Barnstable
Hyannis Port,2647,Barnstable
Marstons Mills,2648,Barnstable
Mashpee,2649,Mashpee
Monument Beach,2553,Bourne
North Chatham,2650,Chatham
North Eastham,2651,Eastham
North Falmouth,2556,Falmouth
North Truro,2652,Truro
Orleans,2653,Orleans
Osterville,2655,Barnstable
Pocasset,2559,Bourne
Provincetown,2657,Provincetown
Sagamore,2561,Bourne
Sagamore Beach,2562,Bourne
Sandwich,2563,Sandwich
South Chatham,2659,Chatham
South Dennis,2660,Dennis
South Harwich,2661,Harwich
South Orleans,2662,Orleans
South Wellfleet,2663,Wellfleet
South Yarmouth,2664,Yarmouth
Truro,2666,Truro
Wellfleet,2667,Wellfleet
West Barnstable,2668,Barnstable
West Chatham,2669,Chatham
West Dennis,2670,Dennis
West Falmouth,2574,Falmouth
West Harwich,2671,Harwich
West Hyannisport,2672,Barnstable
West Yarmouth,2673,Yarmouth
Woods Hole,2543,Falmouth
Yarmouth Port,2675,Yarmouth
